construct,full_construct_name,score,cycle_label,assessment_date,data_classification
SFPE,Strategic Financial Planning Effectiveness,2.781,Baseline,2026-07-01,Research baseline
FLQ,Financial Leadership Quality,2.7,Baseline,2026-07-01,Research baseline
FIQ-Core,Financial Information Quality—Core,2.705,Baseline,2026-07-01,Research baseline
FRM,Financial Risk Management,2.733,Baseline,2026-07-01,Research baseline
SM,Stakeholder Management,2.67,Baseline,2026-07-01,Research baseline
RMC,Resource Management Capability,2.742,Baseline,2026-07-01,Research baseline
